id,longitude,latitude,time,precipitation
0,85.67682022,26.83716911,"{'type': 'Date', 'value': 1546300800000}",10.90603828
1,85.67682022,26.83716911,"{'type': 'Date', 'value': 1548979200000}",41.74481118
2,85.67682022,26.83716911,"{'type': 'Date', 'value': 1551398400000}",25.00358343
3,85.67682022,26.83716911,"{'type': 'Date', 'value': 1554076800000}",63.23148084
4,85.67682022,26.83716911,"{'type': 'Date', 'value': 1556668800000}",64.4565835
5,85.67682022,26.83716911,"{'type': 'Date', 'value': 1559347200000}",155.1049957
6,85.67682022,26.83716911,"{'type': 'Date', 'value': 1561939200000}",485.0675511
7,85.67682022,26.83716911,"{'type': 'Date', 'value': 1564617600000}",196.4705105
8,85.67682022,26.83716911,"{'type': 'Date', 'value': 1567296000000}",378.7927513
9,85.67682022,26.83716911,"{'type': 'Date', 'value': 1569888000000}",22.07348347
10,85.67682022,26.83716911,"{'type': 'Date', 'value': 1572566400000}",4.303730637
11,85.67682022,26.83716911,"{'type': 'Date', 'value': 1575158400000}",11.48850691
